"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@sofiaoliveraaa es muy intimidante Ì†ΩÌ∏â #swag lol hey dyk what this $twtr account is made out of? https://t.co/C8BdkeSz3w",FALSE,0,"SofiaAloeVera",2015-12-12 05:48:54,FALSE,"675548405876191232","675552889952055296","3115153663","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SofiaAloeVera",0,FALSE,FALSE,NA,NA
"2","UPRO ProShares UltraPro S&amp;P 500 Financials
https://t.co/tAIQzi7v1s

$UPRO $TWTR $AIG $SPHS #UPRO #invest #tradeideas",FALSE,0,NA,2015-12-12 05:48:06,FALSE,NA,"675552686238883840",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","IHPosts2",0,FALSE,FALSE,NA,NA
"3","$AAPL $TWTR $FIT and 20,000+ other symbol streams on https://t.co/3M8Asr6lAX, The Discovery Engine, Social Network for Investors. #stocks",FALSE,0,NA,2015-12-12 05:45:08,FALSE,NA,"675551941468917760",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","specstockscom",0,FALSE,FALSE,NA,NA
"4","$TWTR Short Sales Updated Saturday, December 12, 2015 00:07:29 AM $XIV $SLTD $MYEC $GLW https://t.co/H34B7OVTh5",FALSE,0,NA,2015-12-12 05:45:07,FALSE,NA,"675551937127837696",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PolgarStocks",0,FALSE,FALSE,NA,NA
"5","RT @PSYCHOOO6: Hot crispy Chill fritters /Indian Mirchi Pakoda #foodie #foodporn #cooking #snacks  $TWTR $GOOG $AAPL  https://t.co/187XZFMd‚Ä¶",FALSE,0,NA,2015-12-12 05:36:51,FALSE,NA,"675549855150813184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MuniprasadGutha",1,TRUE,FALSE,NA,NA
"6","RT PSYCHOOO6 Hot crispy Chill fritters /Indian Mirchi Pakoda #foodie #foodporn #cooking #snacks  $TWTR $GOOG $AAPL  https://t.co/sZ1CrqT2KE",FALSE,0,NA,2015-12-12 05:35:55,FALSE,NA,"675549620685176833",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","auboisenchante",0,FALSE,FALSE,NA,NA
"7","Hot crispy Chill fritters /Indian Mirchi Pakoda #foodie #foodporn #cooking #snacks  $TWTR $GOOG $AAPL  https://t.co/187XZFMdGa",FALSE,3,NA,2015-12-12 05:34:43,FALSE,NA,"675549317567004672",NA,"<a href=""https://vine.co"" rel=""nofollow"">Vine for Android</a>","PSYCHOOO6",1,FALSE,FALSE,NA,NA
"8","$TWTR Financials Updated Saturday, December 12, 2015 00:11:32 AM $XLK $ACN $WMIH $EFA https://t.co/qGdO6vpeBC",FALSE,0,NA,2015-12-12 05:28:16,FALSE,NA,"675547695625342976",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","IHNewsDesk",0,FALSE,FALSE,NA,NA
"9","Who is Tom McCarthy and how can he teach you to profit from stock promotions? https://t.co/LCohN038Au $TWTR $FEYE $FMI #stocks",FALSE,0,NA,2015-12-12 05:22:31,FALSE,NA,"675546250192805888",NA,"<a href=""https://smqueue.com"" rel=""nofollow"">smqueue</a>","Stock_Huntress",0,FALSE,FALSE,NA,NA
"10","@StockTwits buy $TWTR!!!! @twitter #GOTWITTER",FALSE,1,"StockTwits",2015-12-12 05:18:28,FALSE,"675353044767277056","675545229575913472","14886375","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tokomurase",0,FALSE,FALSE,NA,NA
